ﹾ Arabic Sukun Isolated Form
ﻱ Arabic Letter Yeh Isolated Form
ﻲ Arabic Letter Yeh Final Form
ﻳ Arabic Letter Yeh Initial Form
ﻴ Arabic Letter Yeh Medial Form
ﻵ Arabic Ligature Lam With Alef With Madda Above Isolated Form
ﻶ Arabic Ligature Lam With Alef With Madda Above Final Form
ﻷ Arabic Ligature Lam With Alef With Hamza Above Isolated Form
ﻸ Arabic Ligature Lam With Alef With Hamza Above Final Form
ﻹ Arabic Ligature Lam With Alef With Hamza Below Isolated Form
ﻺ Arabic Ligature Lam With Alef With Hamza Below Final Form
ﻻ Arabic Ligature Lam With Alef Isolated Form
